business_type,years_in_business,mobile_money_txn_frequency,mobile_money_txn_volume_naira,airtime_topup_consistency,savings_frequency,avg_savings_balance_naira,utility_payment_timeliness,rent_payment_timeliness,repayment_history_score,avg_payment_delay_days,income_consistency_score,social_capital_score,wallet_balance_volatility,default
Craft/Artisan,7.427809919982162,32.01583283730372,26734.083558731472,0.8066345434757802,1.8720399275162816,15262.779051277881,0.7278203547457434,0.6810984130009453,0.7202827609211312,21.121323630633583,0.6896659605132914,0.7733202747987509,0.28143565574757845,0
Farming,9.121078767251264,1.0,62886.24272487789,0.8354361586734371,6.25385914449776,49397.83872763707,0.7215580624393603,0.8484785188361101,0.6897003178350793,4.421262952247211,0.5678579707989551,0.8452000769013784,0.20429320399150772,0
Craft/Artisan,2.0347490965890302,15.0555950893657,26940.430345371795,0.7084831725192726,1.4589372158664595,17446.72086523459,0.828883448848357,0.6354261372556992,0.5933852510566869,3.315780876862803,0.4304201557395225,0.21330715840523318,0.10123907679830868,1
Transportation,8.367286512731006,14.662314646274023,18834.535235750125,0.7161012299137095,6.726921196784209,7734.426710192898,0.734319497904771,0.6831127247612191,0.5492435981189886,12.639179497008346,0.7536088062356676,0.40177657934796007,0.8304286982480559,1
Trading,2.987624319035042,27.218696199394422,37168.67240751525,0.8512494818278635,7.9602088013412295,6581.386205713456,0.8645707665558222,0.6635568203501747,0.8177686290787297,22.1669116211066,0.7886482607481912,0.8279052396863451,0.44861289752223493,0
Freelance Services,4.389097769883996,28.386419727518238,17172.372199821475,0.7374152599990309,9.226259062748646,12923.747435220024,0.7061105603150205,0.4185434925250557,0.5944156642845492,13.395319273969783,0.8641070986986374,0.29530366881338393,0.5520277259037432,1
Craft/Artisan,5.01080793748843,25.633789243467163,36076.94623726088,0.9240726942421543,5.722835700597279,5205.879757957822,0.9097207040173637,0.7146719797120391,0.8236549929132481,4.685522383480871,0.5942288635647529,0.5471525257167323,0.23085484513024715,0
Craft/Artisan,7.926520970526112,7.195599610032843,33779.60556730264,0.8237366216162196,8.244268933157741,8097.015815674728,0.5185245444166885,0.7305722855362116,0.6280235218924598,9.257839396104957,0.35515840797412956,0.6733339029341521,0.24687002779878325,1
Trading,6.199206722426695,24.900952254391374,24241.674860621268,0.8947465893886991,3.2884633789905875,11260.609772247695,0.47222774522536504,0.7505403496968622,0.8764406185585795,14.60781873932681,0.5147671045809826,0.908626671190825,0.9061221059910287,1
Farming,2.906600602631517,22.072335748747935,36724.38903350059,0.6057368075900975,8.8998943724032,9943.558685819055,0.552200358348526,0.7117377704363178,0.8421946544466917,3.2424350237747195,0.602608710634107,0.35015180517031175,0.12035155463177642,0
Farming,0.4148923218609388,4.630124917763274,11869.359639399485,0.39233427548620825,8.023733808239752,22221.938967694005,0.8608128209397587,0.35887594640452136,0.9057865818644701,5.924127856559095,0.52109006097171,0.5246568387913563,0.7578092970598282,1
Freelance Services,5.381171249212589,1.4638893695865036,29425.86024068708,0.7383960972463064,3.599227208140329,7970.644767453068,0.9291018072166279,0.47870780478626807,0.9511529541012194,2.918033998502077,0.7780024207512788,0.9369297256822668,0.7061556464760911,0
Transportation,4.26011957382574,26.303914320166207,20857.711989554562,0.7431420073596829,7.591087930730076,2370.872070666369,0.40151464869524867,0.762217640612322,0.7451601756489576,1.8065409242680155,0.5883391494700796,0.48105518098123645,0.08219628914747433,1
Craft/Artisan,1.2284281044384715,16.559205592166045,129864.25187352489,0.7229454255800223,9.269163630181787,4104.991550200346,0.8344347971095617,0.6654291837249965,0.723617514863995,8.20363381426163,0.815907291503163,0.5608742049117337,0.10161109244061282,0
Farming,4.628526619581581,7.718543260360997,29310.579012962266,0.7543006626794592,6.235937772544948,13194.129900403083,0.647779630040439,0.7905362972629286,0.6866155434443693,4.291891434240297,0.5349524522976943,0.49162643626026004,0.9968489553693194,0
Trading,3.811272905236154,16.33462457032985,19379.75750295609,0.8286645950343762,3.5324621133282235,8859.430031463811,0.4962922565879777,0.8204163895684189,0.2296497876853423,2.1954178291691653,0.4833731251756341,0.3978743675959864,0.27573233913525763,0
Transportation,9.06310523840853,20.91232864890562,12606.074061699775,0.8728721570167715,6.533267415197717,5621.364953176906,0.9116593374482705,0.760933826057566,0.6389155524404961,2.203043993931395,0.40339856851996636,0.4938170721405394,0.2827887493298591,0
Trading,12.489717808687317,17.337190986659625,55158.901021289006,0.9814038169167715,7.657352240652008,52623.38756196354,0.8027808985153515,0.38663659400903627,0.745802826757105,10.179893402261735,0.2814991581884591,0.8137255647768206,0.34716119866053435,0
Craft/Artisan,7.306015347182474,5.584110774991309,22191.88597130156,0.6683657643852543,3.50994164815269,23863.970379445575,0.8345636463279018,0.9154854895503265,0.6412599002022054,8.223424871751662,0.4037358088916566,0.8901367566106356,0.19651636315859267,0
Transportation,3.6499537372151476,33.08445522851288,17409.239727929347,0.7699743050989643,2.9770681835159367,12824.350018035522,0.8061256219413687,0.9751538674247808,0.7105751685928451,8.583963627459076,0.9077322477521158,0.7050991533220968,0.5784540971150387,0
Craft/Artisan,4.068393866955009,26.03374375190314,32369.262645198687,0.7269634931954375,7.564867025567901,15729.73375150896,0.879449425365695,0.42898283891573896,0.8742479094324482,3.242028039035314,0.5156855689745108,0.4818236821507255,0.08558314950726802,0
Farming,1.9742197109894497,15.316980386612261,38458.897680290145,0.5805382347041722,8.469953855325041,11096.680541882426,0.5645812889808061,0.452188794619716,0.9078525121873895,12.253049104127157,0.727756730457937,0.6703811085170585,0.5572228102722058,0
Freelance Services,2.3020608007966663,15.6392427527817,38126.85289545391,0.7623350757257354,12.44927204322969,5554.309148945586,0.7411843042282539,0.8625093517548414,0.6929897625969124,10.829046726795928,0.4738998963102182,0.804653446794252,0.1855421861752307,0
Freelance Services,3.4934707620073,20.87589915770541,27197.021229960632,0.22604050348541188,7.997179867059383,27487.982838960794,0.5546054080952035,0.7758351886911283,0.8887536014770739,12.788861034650974,0.5210179553576115,0.8455549916652585,0.1519912402082888,1
Craft/Artisan,3.2238975551007933,8.963028834077347,29364.876882535114,0.9168304407958583,2.372754897071849,24244.16034319609,0.5900425929231145,0.5178310562784635,0.5516880199457102,1.7931469997526404,0.49488990965807494,0.6761256827601432,0.20672902233394042,1
Trading,1.1615977298077,20.58141149229575,30565.291871516645,0.5735298999705417,12.119350614975069,3347.1561433283377,0.6838972153698433,0.7089462938596338,0.6731214442481306,7.100825200872955,0.9086301388067697,0.605105299369382,0.49745056189047876,0
Farming,9.12437434046966,7.354140505113875,32370.99051046818,0.7723060121230723,9.164961443938244,15654.328692308489,0.5864051780855984,0.5819642976151196,0.8840147354150185,7.079895452764633,0.5112314056054604,0.722518026958959,0.21624506173264324,1
Trading,9.960354145803324,17.43572626523867,33985.41896847559,0.6125222192831091,0.0,16912.065107846105,0.5971074359741448,0.45347193383853285,0.7300106736661325,2.911550725520588,0.3990022403579513,0.6215413331992066,0.034863882526459854,1
Trading,8.934472677513092,8.65142800114513,49116.43649276896,0.6983485109174083,2.9091299631943364,10665.6986752538,0.32695819866512266,0.756094881000923,0.6786547592031392,4.721201901686121,0.7927211489939916,0.8851231413525197,0.12389911843217612,0
Transportation,10.179541262777306,9.055328141386283,27751.028293626463,0.7313576198574677,4.525324737285187,57993.47232313992,0.41371312286384726,0.9760341293990831,0.6852803584681799,6.415255430782718,0.40669113612818575,0.7114754660075098,0.4208516113809979,0
Craft/Artisan,14.81381011808001,31.165780908945678,17167.240142643153,0.6872878101741989,8.51429457648437,53751.19973444321,0.5074181315146904,0.8632857504498753,0.70948491252433,12.446238973078124,0.36993061617961354,0.9239898957789117,0.12814799653962555,0
Freelance Services,2.006191320047382,18.473807154276432,24850.6593231814,0.44709200284083767,0.0,10257.294852158,0.3684344419131658,0.806492805891832,0.5298397296041556,5.748142371406663,0.629563848582934,0.8623309427983662,0.13900625556218743,1
Farming,14.412066157403117,19.65925188320934,40724.26764214982,0.5539972883924781,5.642662751740693,11430.34057181391,0.48556867079912824,0.6216245655623462,0.32910280955615395,7.781425274735113,0.6632092848590977,0.8375781557207469,0.15545201005933731,1
Farming,2.892743833142019,1.9089611113494165,10070.942970507425,0.8744183130372762,8.343146566366416,10528.179445482716,0.7599042202735342,0.7484334944495084,0.716107558519987,1.2769490036678595,0.8115050945979463,0.8050595040135679,0.5197298034451013,0
Farming,5.945379033993898,13.223985931831617,10102.985897410841,0.7305164668552792,0.0,8708.608854274687,0.864673093204824,0.9087915887400332,0.5590514892644627,3.8154857071746013,0.5478627843130357,0.6295285805303922,0.34489466224824017,0
Trading,0.8999893989904201,21.68969694963478,44580.501965865464,0.6853789212895841,8.240275257865093,7012.62686692695,0.8504292186350336,0.4005818262439328,0.7844669806800417,4.165052611633506,0.7845729076654945,0.5558172889019332,0.6339461478025421,0
Trading,2.606737172340513,19.553090127580038,62073.071911656814,0.8762841072299891,8.600830355675624,19049.573239622227,0.7045286619187641,0.7874531482249241,0.8529848170430006,11.329317822521649,0.7498851887066339,0.7154930444826988,0.2214357520454553,0
Farming,7.444860769570247,1.0,13415.15048869844,0.883644829550332,3.4600423903551523,52733.64762811704,0.5514476273545001,0.5422526955439155,0.9274701119202461,11.515558937875195,0.6591576089569535,0.9792017145930197,0.6635259206455573,0
Trading,6.141030489274085,19.65710333325665,28431.489609343065,0.7647250536625456,2.540138195012709,39539.574006326264,0.79568670182189,0.7024460202830637,0.8810897872064866,1.757675381432804,0.935529995621546,0.726841830334529,0.027761993072604477,0
Transportation,2.8488854423454155,20.932470428397515,21595.71486033738,0.6023034458321247,3.4131193325264215,23211.98215286598,0.6862111359235399,0.8106204323469475,0.6290694466516641,3.0418799640342904,0.5627269641805152,0.6336657300607158,0.3091066089079092,1
Farming,4.067063623787639,28.2700959855896,23307.802116016534,0.8883290747441132,0.0,2477.5406095749395,0.8788453021102125,0.9038923129556872,0.6135140921340785,6.805704187817158,0.8268821237466428,0.3847048059689619,0.2420940574991073,0
Craft/Artisan,2.38901979619876,12.758151048493257,31826.102163084754,0.6280237392945758,5.0214303176379,3622.122147424923,0.5846360475854023,0.42194939749582683,0.515076611021914,4.528899048625544,0.3384162466971355,0.7459364809697747,0.21770108606861946,1
Transportation,7.431284421703202,1.0,13212.536253373906,0.3297413390332734,6.658788767258905,28139.070941672042,0.6797761751010424,0.47813872220092535,0.6741419205523339,3.952532693909096,0.7237818566573152,0.8207436756205794,0.6891162805436596,1
Trading,9.521397324756155,10.025833985558757,14632.939180062996,0.7437369037268672,2.3419896081206684,41504.67761784841,0.7644766950316604,0.758026430978311,0.5962661348081415,3.6228780244804737,0.763036108860608,0.4781832280955753,0.23370601090408036,1
Craft/Artisan,2.0139059294403294,9.223479689051542,22795.350185082432,0.7917242309168093,8.916148747675283,19685.040028269814,0.7559907706037851,0.2602461774864277,0.8811807365094037,6.386026769598426,0.49456064848144365,0.39647257142323183,0.4393976255229986,1
Craft/Artisan,3.7696197412777375,23.893671022239793,24835.849212990994,0.9223950988787687,6.307701541966091,10786.965428684649,0.8610079205285794,0.7133589917757712,0.8635829036998148,6.403521783125569,0.4748517361946344,0.7375158526673348,0.7204852426685885,0
Farming,1.1159129167897976,1.0,14482.911148122617,0.5712544807186164,6.780053244460352,34427.49187428173,0.7248341092946811,0.7893396055376598,0.847086702255924,3.304827525403359,0.8800780831679336,0.47594836281758185,0.3296141105884032,0
Trading,4.5299629231726914,14.413148319419022,41535.60213148108,0.637927235168479,4.794010011347051,22640.953345149002,0.737375993540323,0.9299038107288525,0.39692705847101895,3.675656258932351,0.7442889205307754,0.76352918974372,0.17991683001819261,0
Transportation,5.5241045042489665,29.406363788618037,21382.78557233607,0.9106360332760433,8.22913184406718,29620.195750090934,0.5240965851683256,0.6051072138320688,0.5820048561604642,4.7202645641031165,0.6914165822714465,0.40116684268940306,0.06261739097441477,1
Trading,4.796691406260754,18.05769970266908,21332.783857519873,0.46921864643816114,9.871682057567654,3642.412897383643,0.8401876910984735,0.8526284354292343,0.8075323894045867,5.487099082485097,0.8454972007997698,0.7233803446730698,0.24246810038889705,0
Trading,5.227824813535878,25.17053452941139,31428.246406880222,0.7063646526150988,4.777444072586966,16989.281741800994,0.622553450185359,0.7727220023318501,0.8061108073683199,0.4343258122621123,0.4370167272164403,0.5555609581785255,0.3881641504278033,0
Trading,3.4774107690515303,4.865613331591298,25061.809891357294,0.776316635130861,8.28309531268487,46267.71992112135,0.908346449709111,0.5682721900988702,0.5324076739457142,2.7818876145046056,0.7464105460291477,0.3784976385155161,0.5343700352793176,0
Craft/Artisan,3.540031354612054,5.184083894349419,42642.73707518428,0.8842934490790683,8.31608237348421,19326.140747271453,0.7594643634190744,0.6637965999314255,0.5751776458969609,3.1524916330054182,0.6116105708620391,0.6977506895393517,0.439790474783497,0
Transportation,3.4174392950365036,29.497939662761873,16100.693172038516,0.72500040288443,7.25361182952458,25945.96310494145,0.5897505995904151,0.9187827549228545,0.6855555963940313,4.550006958508389,0.5233497554845215,0.38544508736987526,0.14651861306931954,1
Transportation,2.5433296546763695,18.809722926058026,12474.444263546067,0.6479413177108714,11.031162582319537,13704.246637900722,0.424469876881429,0.7118000327100257,0.44550166319212575,6.312133864734813,0.14604895308112442,0.6346072173185323,0.35222211400134296,1
Craft/Artisan,2.802882032271441,18.826194897673155,22688.576522539202,0.8433160469364661,3.820530981898064,14389.478886001372,0.7652338746070385,0.7245321932852828,0.660781996270528,2.947881730262158,0.567482801068697,0.18810328062607157,0.20508969330230037,0
Farming,5.352007258415176,9.054777375144027,27809.414546879034,0.9502635636790189,4.735355054889148,35659.443289145995,0.7613685408875054,0.7750936695443181,0.5395652356222411,4.321045991757396,0.3969329247834215,0.5268912038362974,0.09374519361599888,1
Transportation,9.130660996520245,18.80625383160185,13596.724957100292,0.6842694576359507,3.669121870912493,8359.452019679491,0.8143324596940579,0.5600996823482591,0.8348272553736145,0.816337803243582,0.8621246246734766,0.416159717714326,0.5394846320018353,0
